VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1641066790856	2.02699e-07	-1.44976e-13	0.923439	3.57652e-07	-7.14694e-08	2.54927e-14	1	img_Drone1_3_0_1641066790941416000.png;img_Drone1_3_7_1641066790941544000.png
Drone1	1641066791198	4.30628e-07	-3.07954e-13	2.72076	3.57745e-07	-7.20693e-09	2.45164e-15	1	img_Drone1_3_0_1641066791280912000.png;img_Drone1_3_7_1641066791281628000.png
Drone1	1641066791609	7.17961e-07	-5.13205e-13	5.6337	3.5788e-07	5.17598e-10	-3.83274e-16	1	img_Drone1_3_0_1641066791693733000.png;img_Drone1_3_7_1641066791694435000.png
Drone1	1641066792173	1.10615e-06	-7.8966e-13	10.3507	3.58061e-07	8.74869e-09	-3.42839e-15	1	img_Drone1_3_0_1641066792256782000.png;img_Drone1_3_7_1641066792257516000.png
Drone1	1641066792728	1.44048e-06	-1.02596e-12	15.3401	3.5824e-07	1.68485e-08	-6.42762e-15	1	img_Drone1_3_0_1641066792813654000.png;img_Drone1_3_7_1641066792814404000.png
Drone1	1641066793157	1.52588e-06	0	16.3029	3.13916e-07	0	0	1	img_Drone1_3_0_1641066793243900000.png;img_Drone1_3_7_1641066793244508000.png
Drone1	1641066793625	1.52588e-06	0	16.3029	3.13916e-07	0	0	1	img_Drone1_3_0_1641066793712874000.png;img_Drone1_3_7_1641066793713448000.png
Drone1	1641066804783	2.20161e-06	-1.57416e-12	-0.266558	3.58761e-07	2.06379e-07	-7.5239e-14	1	img_Drone1_3_0_1641066805361062000.png;img_Drone1_3_7_1641066805361761000.png
Drone1	1641066805197	3.85603e-06	-2.75147e-12	-0.423906	3.60028e-07	2.16188e-07	-8.0393e-14	1	img_Drone1_3_0_1641066805794420000.png;img_Drone1_3_7_1641066805797167000.png
Drone1	1641066805854	4.96653e-06	-3.50857e-12	-0.706006	3.61958e-07	2.27149e-07	-8.69697e-14	1	img_Drone1_3_0_1641066806467169000.png;img_Drone1_3_7_1641066806468092000.png
Drone1	1641066806241	4.72327e-06	-3.2877e-12	-0.882951	3.63079e-07	1.29124e-07	-5.29329e-14	1	img_Drone1_3_0_1641066806859620000.png;img_Drone1_3_7_1641066806860372000.png
Drone1	1641066806817	3.56227e-06	-2.34469e-12	-1.15435	3.64042e-07	1.07509e-07	-4.72735e-14	1	img_Drone1_3_0_1641066807439814000.png;img_Drone1_3_7_1641066807442464000.png
Drone1	1641066807252	2.28095e-06	-1.30375e-12	-1.36312	3.6504e-07	-2.70769e-08	2.45926e-16	1	img_Drone1_3_0_1641066807888141000.png;img_Drone1_3_7_1641066807888927000.png
Drone1	1641066807702	1.01398e-06	-2.32108e-13	-1.58106	3.66628e-07	-9.27929e-08	2.27056e-14	1	img_Drone1_3_0_1641066808403159000.png;img_Drone1_3_7_1641066808403926000.png
Drone1	1641066808185	2.82475e-08	6.9058e-13	-1.67986	3.69068e-07	-1.04584e-07	2.53497e-14	1	img_Drone1_3_0_1641066808919245000.png;img_Drone1_3_7_1641066808919967000.png
Drone1	1641066808644	-5.02036e-07	1.31928e-12	-1.60898	3.7141e-07	-1.03014e-07	2.31648e-14	1	img_Drone1_3_0_1641066809380866000.png;img_Drone1_3_7_1641066809381585000.png
Drone1	1641066809166	-5.95294e-07	1.73407e-12	-1.60687	3.74229e-07	-5.31061e-08	2.66187e-15	1	img_Drone1_3_0_1641066809903519000.png;img_Drone1_3_7_1641066809904225000.png
Drone1	1641066809694	-4.01017e-07	2.04443e-12	-1.97179	3.75261e-07	-1.86377e-09	-1.85637e-14	1	img_Drone1_3_0_1641066810433855000.png;img_Drone1_3_7_1641066810434953000.png
Drone1	1641066810225	-1.88611e-07	2.45468e-12	-2.46791	3.75885e-07	4.04317e-09	-2.28275e-14	1	img_Drone1_3_0_1641066810969575000.png;img_Drone1_3_7_1641066810970288000.png
Drone1	1641066810921	5.09407e-08	3.20258e-12	-3.13753	3.76703e-07	1.17856e-08	-2.84265e-14	1	img_Drone1_3_0_1641066811669460000.png;img_Drone1_3_7_1641066811670179000.png
Drone1	1641066811329	1.44061e-07	3.78118e-12	-3.53556	3.77182e-07	1.63242e-08	-3.17142e-14	1	img_Drone1_3_0_1641066812078068000.png;img_Drone1_3_7_1641066812078867000.png
Drone1	1641066811833	1.83951e-07	4.66848e-12	-4.0303	3.77774e-07	2.19308e-08	-3.5781e-14	1	img_Drone1_3_0_1641066812585674000.png;img_Drone1_3_7_1641066812586387000.png
Drone1	1641066812313	1.20843e-07	5.71718e-12	-4.50338	3.78338e-07	2.72704e-08	-3.96599e-14	1	img_Drone1_3_0_1641066813074447000.png;img_Drone1_3_7_1641066813075202000.png
Drone1	1641066812895	-1.23143e-07	7.29413e-12	-5.07838	3.79022e-07	3.37448e-08	-4.43706e-14	1	img_Drone1_3_0_1641066813656760000.png;img_Drone1_3_7_1641066813657486000.png
Drone1	1641066813300	-4.18451e-07	8.60953e-12	-5.47903	3.79792e-07	9.02735e-09	-3.65457e-14	1	img_Drone1_3_0_1641066814076347000.png;img_Drone1_3_7_1641066814077110000.png
Drone1	1641066813867	-8.28264e-07	1.06283e-11	-6.04035	3.81101e-07	-4.15763e-08	-1.94133e-14	1	img_Drone1_3_0_1641066814648683000.png;img_Drone1_3_7_1641066814649466000.png
Drone1	1641066814323	-9.83312e-07	1.22795e-11	-6.49198	3.81814e-07	-3.65034e-08	-2.30119e-14	1	img_Drone1_3_0_1641066815122346000.png;img_Drone1_3_7_1641066815123127000.png
Drone1	1641066814878	-9.72991e-07	1.4341e-11	-7.0418	3.82646e-07	-2.77939e-08	-2.837e-14	1	img_Drone1_3_0_1641066815696450000.png;img_Drone1_3_7_1641066815697183000.png
