VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1640932232102	0	0	1.1224	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932232481395000.png;img_Drone1_0_7_1640932232481568000.png
Drone2	1640932232102	0	0	1.1224	1	-0	0	0	
Drone3	1640932232102	0	0	1.1224	1	-0	0	0	
Drone4	1640932232102	0	0	1.1224	1	-0	0	0	
Drone1	1640932232432	0	0	2.8478	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932232809707000.png;img_Drone1_0_7_1640932232810323000.png
Drone2	1640932232432	0	0	2.8478	1	-0	0	0	
Drone3	1640932232432	0	0	2.8478	1	-0	0	0	
Drone4	1640932232432	0	0	2.8478	1	-0	0	0	
Drone1	1640932232762	0	0	5.00639	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932233143430000.png;img_Drone1_0_7_1640932233144042000.png
Drone2	1640932232762	0	0	5.00639	1	-0	0	0	
Drone3	1640932232762	0	0	5.00639	1	-0	0	0	
Drone4	1640932232762	0	0	5.00639	1	-0	0	0	
Drone1	1640932233077	0	0	7.2987	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932233459385000.png;img_Drone1_0_7_1640932233460023000.png
Drone2	1640932233077	0	0	7.2987	1	-0	0	0	
Drone3	1640932233077	0	0	7.2987	1	-0	0	0	
Drone4	1640932233077	0	0	7.2987	1	-0	0	0	
Drone1	1640932233404	0	0	9.80676	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932233787131000.png;img_Drone1_0_7_1640932233787740000.png
Drone2	1640932233404	0	0	9.80676	1	-0	0	0	
Drone3	1640932233404	0	0	9.80676	1	-0	0	0	
Drone4	1640932233404	0	0	9.80676	1	-0	0	0	
Drone1	1640932233689	0	0	12.0493	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932234075510000.png;img_Drone1_0_7_1640932234076130000.png
Drone2	1640932233692	0	0	12.0493	1	-0	0	0	
Drone3	1640932233692	0	0	12.0731	1	-0	0	0	
Drone4	1640932233692	0	0	12.0731	1	-0	0	0	
Drone1	1640932233956	0	0	14.1758	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932234340786000.png;img_Drone1_0_7_1640932234341445000.png
Drone2	1640932233956	0	0	14.1758	1	-0	0	0	
Drone3	1640932233956	0	0	14.1758	1	-0	0	0	
Drone4	1640932233956	0	0	14.1758	1	-0	0	0	
Drone1	1640932234271	0	0	16.7017	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932234659814000.png;img_Drone1_0_7_1640932234660432000.png
Drone2	1640932234271	0	0	16.7017	1	-0	0	0	
Drone3	1640932234271	0	0	16.7017	1	-0	0	0	
Drone4	1640932234271	0	0	16.7017	1	-0	0	0	
Drone1	1640932234616	0	0	19.4791	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932235005069000.png;img_Drone1_0_7_1640932235006109000.png
Drone2	1640932234616	0	0	19.4791	1	-0	0	0	
Drone3	1640932234616	0	0	19.4791	1	-0	0	0	
Drone4	1640932234616	0	0	19.4791	1	-0	0	0	
Drone1	1640932234967	0	0	22.3102	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932235360451000.png;img_Drone1_0_7_1640932235361056000.png
Drone2	1640932234967	0	0	22.3102	1	-0	0	0	
Drone3	1640932234967	0	0	22.3102	1	-0	0	0	
Drone4	1640932234967	0	0	22.3102	1	-0	0	0	
Drone1	1640932235291	0	0	23.4395	3.13916e-07	0	0	1	img_Drone1_0_0_1640932235692420000.png;img_Drone1_0_7_1640932235693012000.png
Drone2	1640932235291	0	0	23.8183	1	0	0	0	
Drone3	1640932235291	0	0	22.7373	1	0	0	0	
Drone4	1640932235291	0	0	24.9257	1	-0	0	0	
Drone1	1640932235591	0	0	23.4395	3.13916e-07	0	0	1	img_Drone1_0_0_1640932235991959000.png;img_Drone1_0_7_1640932235992752000.png
Drone4	1640932235591	0	0	25.1686	1	0	0	0	
Drone1	1640932245338	0	0	-0.338101	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932246327567000.png;img_Drone1_0_7_1640932246328183000.png
Drone2	1640932245341	0	0	0.94601	1	-0	0	0	
Drone3	1640932245341	0	0	0.94601	1	-0	0	0	
Drone4	1640932245341	0	0	0.94601	1	-0	0	0	
Drone1	1640932245680	0	0	-0.498307	3.57628e-07	-0	0	1	img_Drone1_0_0_1640932246722128000.png;img_Drone1_0_7_1640932246722767000.png
Drone2	1640932245680	0	0	2.65205	1	-0	0	0	
Drone3	1640932245680	0	0	2.65205	1	-0	0	0	
Drone4	1640932245680	0	0	2.65205	1	-0	0	0	
