VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1641066346995	-0.0405925	2.90204e-08	0.794738	3.57522e-07	0.00533115	-2.16527e-09	0.999986	img_Drone1_3_0_1641066347107057000.png;img_Drone1_3_7_1641066347107185000.png
Drone1	1641066347331	-0.0749574	5.37791e-08	2.56772	3.57412e-07	0.000517585	-9.43539e-10	1	img_Drone1_3_0_1641066347445741000.png;img_Drone1_3_7_1641066347446447000.png
Drone1	1641066347793	-0.123259	9.01827e-08	5.88188	3.57204e-07	2.09588e-05	-1.45255e-09	1	img_Drone1_3_0_1641066347906057000.png;img_Drone1_3_7_1641066347906977000.png
Drone1	1641066348288	-0.175133	1.3438e-07	10.0407	3.56873e-07	6.75062e-07	-2.18085e-09	1	img_Drone1_3_0_1641066348404473000.png;img_Drone1_3_7_1641066348405187000.png
Drone1	1641066348783	-0.227	1.87885e-07	14.4765	3.56569e-07	9.61307e-08	-2.91621e-09	1	img_Drone1_3_0_1641066348897985000.png;img_Drone1_3_7_1641066348899320000.png
Drone1	1641066349416	-0.2468	2.11596e-07	16.2046	3.13916e-07	0	0	1	img_Drone1_3_0_1641066349589987000.png;img_Drone1_3_7_1641066349590592000.png
Drone1	1641066349788	-0.2468	2.11596e-07	16.2046	3.13916e-07	0	0	1	img_Drone1_3_0_1641066350001225000.png;img_Drone1_3_7_1641066350001818000.png
Drone1	1641066361312	-0.237902	1.6717e-07	-0.447354	3.55033e-07	-0.0249046	1.08724e-08	0.99969	img_Drone1_3_0_1641066361755812000.png;img_Drone1_3_7_1641066361756487000.png
Drone1	1641066361852	-0.349352	2.32837e-07	-0.673696	3.50926e-07	-0.0170956	9.76905e-09	0.999854	img_Drone1_3_0_1641066362313849000.png;img_Drone1_3_7_1641066362314975000.png
Drone1	1641066362401	-0.361415	2.06273e-07	-0.91151	3.46434e-07	-0.0085288	8.51004e-09	0.999964	img_Drone1_3_0_1641066362862126000.png;img_Drone1_3_7_1641066362868770000.png
Drone1	1641066362968	-0.319075	1.06176e-07	-1.16535	3.41776e-07	-0.00339549	8.55822e-09	0.999994	img_Drone1_3_0_1641066363437972000.png;img_Drone1_3_7_1641066363438637000.png
Drone1	1641066363361	-0.275034	1.95587e-11	-1.3458	3.4023e-07	-0.001443	9.15307e-09	0.999999	img_Drone1_3_0_1641066363834345000.png;img_Drone1_3_7_1641066363835024000.png
Drone1	1641066363841	-0.215025	-1.61856e-07	-1.56861	3.38676e-07	-0.000746731	-8.28013e-09	1	img_Drone1_3_0_1641066364319160000.png;img_Drone1_3_7_1641066364319848000.png
Drone1	1641066364549	-0.120787	-3.0085e-07	-1.84556	3.37258e-07	0.00419719	-3.76574e-08	0.999991	img_Drone1_3_0_1641066365141633000.png;img_Drone1_3_7_1641066365142387000.png
Drone1	1641066364795	-0.0913664	-2.8012e-07	-1.8166	3.36482e-07	0.0068221	-2.9433e-08	0.999977	img_Drone1_3_0_1641066365393418000.png;img_Drone1_3_7_1641066365394106000.png
Drone1	1641066365332	-0.0559272	-1.48832e-07	-1.75933	3.35386e-07	0.00689379	1.99288e-08	0.999976	img_Drone1_3_0_1641066365930991000.png;img_Drone1_3_7_1641066365931703000.png
Drone1	1641066365839	-0.0577887	-8.38247e-08	-1.82329	3.37565e-07	0.000259143	4.12969e-09	1	img_Drone1_3_0_1641066366442075000.png;img_Drone1_3_7_1641066366442775000.png
Drone1	1641066366403	-0.0679465	-7.00285e-08	-2.31563	3.41587e-07	-0.00166355	6.92438e-09	0.999999	img_Drone1_3_0_1641066367008785000.png;img_Drone1_3_7_1641066367009461000.png
Drone1	1641066366877	-0.0690488	-7.93463e-08	-2.76389	3.44475e-07	-0.00114607	-1.17387e-08	0.999999	img_Drone1_3_0_1641066367482279000.png;img_Drone1_3_7_1641066367482996000.png
Drone1	1641066367372	-0.0648804	-5.45545e-08	-3.24126	3.45152e-07	-0.000407637	4.98029e-09	1	img_Drone1_3_0_1641066367990206000.png;img_Drone1_3_7_1641066367990903000.png
Drone1	1641066367912	-0.0581051	-3.79132e-08	-3.7683	3.43009e-07	0.000225256	2.54179e-09	1	img_Drone1_3_0_1641066368537226000.png;img_Drone1_3_7_1641066368537926000.png
Drone1	1641066368386	-0.0529958	-3.65786e-08	-4.23401	3.38993e-07	0.000502803	-3.8628e-09	1	img_Drone1_3_0_1641066369018872000.png;img_Drone1_3_7_1641066369019770000.png
Drone1	1641066369088	-0.0493943	-1.75285e-08	-4.92654	3.30138e-07	0.000468281	8.85225e-09	1	img_Drone1_3_0_1641066369723401000.png;img_Drone1_3_7_1641066369724101000.png
Drone1	1641066369394	-0.0493094	-2.65627e-08	-5.22902	3.25165e-07	0.00035194	7.58926e-09	1	img_Drone1_3_0_1641066370031243000.png;img_Drone1_3_7_1641066370034143000.png
Drone1	1641066370021	-0.0508844	-6.11031e-08	-5.84941	3.15965e-07	7.88236e-05	-1.7356e-08	1	img_Drone1_3_0_1641066370664453000.png;img_Drone1_3_7_1641066370665541000.png
Drone1	1641066370462	-0.0525001	-3.53513e-08	-6.28607	3.09804e-07	-6.70146e-05	-1.73384e-09	1	img_Drone1_3_0_1641066371111453000.png;img_Drone1_3_7_1641066371112596000.png
Drone1	1641066371002	-0.0541223	-3.46673e-10	-6.82094	2.99968e-07	-0.000151731	8.69787e-09	1	img_Drone1_3_0_1641066371666128000.png;img_Drone1_3_7_1641066371666861000.png
Drone1	1641066371500	-0.0549054	-7.73809e-09	-7.31431	2.87456e-07	-0.000146524	4.45682e-09	1	img_Drone1_3_0_1641066372204292000.png;img_Drone1_3_7_1641066372205089000.png
Drone1	1641066372049	-0.0549646	-4.32464e-08	-7.8583	2.75021e-07	-8.7521e-05	-8.83932e-09	1	img_Drone1_3_0_1641066372768569000.png;img_Drone1_3_7_1641066372769331000.png
Drone1	1641066372532	-0.0545772	-4.63718e-08	-8.33689	2.63966e-07	-2.58981e-05	-2.39894e-09	1	img_Drone1_3_0_1641066373263463000.png;img_Drone1_3_7_1641066373266070000.png
Drone1	1641066373039	-0.0540392	-3.74815e-08	-8.83926	2.55012e-07	2.26207e-05	4.88352e-09	1	img_Drone1_3_0_1641066373776084000.png;img_Drone1_3_7_1641066373779738000.png
Drone1	1641066373447	-0.0536727	-5.10068e-08	-9.24353	2.47962e-07	4.22424e-05	-1.15395e-09	1	img_Drone1_3_0_1641066374191000000.png;img_Drone1_3_7_1641066374192424000.png
Drone1	1641066374071	-0.0550592	0.00185899	-9.59176	0.000452276	0.103455	-0.106632	0.988902	img_Drone1_3_0_1641066374830349000.png;img_Drone1_3_7_1641066374834879000.png
Drone1	1641066374512	-0.547156	0.441667	-9.52332	-0.0139102	0.280041	-0.175663	0.943677	img_Drone1_3_0_1641066375277038000.png;img_Drone1_3_7_1641066375277749000.png
Drone1	1641066374881	-1.88083	1.40556	-9.45269	-0.020592	0.244136	-0.126791	0.961196	img_Drone1_3_0_1641066375653957000.png;img_Drone1_3_7_1641066375654933000.png
Drone1	1641066375595	-6.20223	4.1552	-9.01408	-0.0162043	0.107047	-0.06955	0.991686	img_Drone1_3_0_1641066376383852000.png;img_Drone1_3_7_1641066376384684000.png
Drone1	1641066376171	-10.3707	6.79361	-8.1304	-0.0146719	0.0489051	-0.0419353	0.997815	img_Drone1_3_0_1641066376973443000.png;img_Drone1_3_7_1641066376974172000.png
