VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1642304345689	0.290686	-0.0182854	-0.108915	0.892451	-0.052961	0.235738	0.380992	img_Drone1_3_7_1642304345762644000.png;img_Drone1_3_0_1642304345762776000.png
Drone1	1642304346001	0.310403	-0.288951	0.394277	0.237794	-0.212503	0.342612	0.883693	img_Drone1_3_7_1642304346074480000.png;img_Drone1_3_0_1642304346074612000.png
Drone1	1642304346529	0.710343	-1.5681	1.94147	-0.969496	-0.00784929	0.0339645	0.242617	img_Drone1_3_7_1642304346603993000.png;img_Drone1_3_0_1642304346604106000.png
Drone1	1642304346946	1.29116	-2.60324	3.28122	-0.973767	0.000866262	0.00174328	-0.22754	img_Drone1_3_7_1642304347020077000.png;img_Drone1_3_0_1642304347020215000.png
Drone1	1642304347465	2.02499	-3.88278	4.57352	-0.943254	3.23273e-05	4.32506e-05	-0.332073	img_Drone1_3_7_1642304347543730000.png;img_Drone1_3_0_1642304347543868000.png
Drone1	1642304347966	2.72575	-5.10685	5.44667	-0.938793	-1.32337e-06	-3.91844e-06	-0.344483	img_Drone1_3_7_1642304348044603000.png;img_Drone1_3_0_1642304348044723000.png
Drone1	1642304348464	3.41401	-6.31312	6.02709	-0.938192	-2.53727e-06	-5.53775e-06	-0.346116	img_Drone1_3_7_1642304348541744000.png;img_Drone1_3_0_1642304348541862000.png
Drone1	1642304348977	4.11447	-7.54505	6.36525	-0.938107	-2.58039e-06	-5.59657e-06	-0.346346	img_Drone1_3_7_1642304349057273000.png;img_Drone1_3_0_1642304349057390000.png
Drone1	1642304349487	4.80241	-8.75927	6.4605	-0.938093	-2.58051e-06	-5.59516e-06	-0.346385	img_Drone1_3_7_1642304349567505000.png;img_Drone1_3_0_1642304349567638000.png
Drone1	1642304349988	5.4702	-9.94203	6.32744	-0.938087	-2.58247e-06	-5.59844e-06	-0.346401	img_Drone1_3_7_1642304350068766000.png;img_Drone1_3_0_1642304350068897000.png
Drone1	1642304350504	6.14986	-11.15	5.96384	-0.938083	-2.57843e-06	-5.60155e-06	-0.34641	img_Drone1_3_7_1642304350586323000.png;img_Drone1_3_0_1642304350586447000.png
Drone1	1642304350990	6.78259	-12.2785	5.4237	-0.93808	-2.57463e-06	-5.60449e-06	-0.346419	img_Drone1_3_7_1642304351070357000.png;img_Drone1_3_0_1642304351070490000.png
Drone1	1642304351479	7.41211	-13.405	4.71146	-0.938076	-2.57492e-06	-5.5964e-06	-0.346428	img_Drone1_3_7_1642304351561128000.png;img_Drone1_3_0_1642304351561293000.png
Drone1	1642304351992	8.06501	-14.5773	3.81228	-0.938073	-2.57487e-06	-5.58885e-06	-0.346438	img_Drone1_3_7_1642304352073670000.png;img_Drone1_3_0_1642304352073797000.png
